"NAME",                                     "STORE_STAKES","COMPANY_STAKES","COMPANY_GGR","COMPANY_NGR","COMPANY_NR","COOPERATING","COMMERCIAL","SAT","RAPPEL"
"Módelo estándar para bares",                       "0.00",          "0.00",       "1.00",       "0.00",      "0.00",       "0.00",      "0.00",  "0.00","55000;0.5;250|75000;1.00;750|100000;1.50;1500|125000;1.75;2188|150000;2.00;3000"
"Módelo estándar para salones",                     "0.00",          "0.00",       "0.00",       "0.00",      "0.00",       "0.00",      "0.00",  "0.00","350000;;7000|500000;;10000|750000;;15000|1000000;;20000|1250000;;25000|1500000;;30000"
"Módelo salones Videomani",                         "0.00",          "0.00",       "0.00",      "50.00",      "0.00",       "0.00",      "0.00",  "0.00","350000;;7000|500000;;10000|750000;;15000|1000000;;20000|1250000;;25000|1500000;;30000"
"Módelo bares Videomani",                           "0.00",          "0.00",       "0.00",      "50.00",      "0.00",       "0.00",      "0.00",  "0.00","350000;;7000|500000;;10000|750000;;15000|1000000;;20000|1250000;;25000|1500000;;30000"
"Módelo salones Bilende",                           "0.00",          "0.00",       "0.00",       "0.00",     "50.00",       "0.00",      "0.00",  "0.00","350000;;7000|500000;;10000|750000;;15000|1000000;;20000|1250000;;25000|1500000;;30000"
"GGR: 45.0% Ventas: -0.5.0%",                       "1.00",         "-0.50",      "45.00",       "0.00",      "0.00",       "0.00",      "0.00", "30.00","350000;;7000|500000;;10000|750000;;15000|1000000;;20000|1250000;;25000|1500000;;30000"
"GGR: 45.0%",                                       "0.00",          "0.00",      "45.00",       "0.00",      "0.00",       "0.00",      "0.00",  "0.00","350000;;7000|500000;;10000|750000;;15000|1000000;;20000|1250000;;25000|1500000;;30000"
"Ventas: 2.0%",                                     "1.00",          "2.00",       "0.00",       "0.00",      "0.00",       "0.00",      "0.00",  "0.00","350000;;7000|500000;;10000|750000;;15000|1000000;;20000|1250000;;25000|1500000;;30000"
"Ventas: 2.0% SAT: 30",                             "1.00",          "2.00",       "0.00",       "0.00",      "0.00",       "0.00",      "0.00", "30.00","350000;;7000|500000;;10000|750000;;15000|1000000;;20000|1250000;;25000|1500000;;30000"
"Ventas: 3.0% SAT: 30",                             "1.00",          "3.00",       "0.00",       "0.00",      "0.00",       "0.00",      "0.00", "30.00","350000;;7000|500000;;10000|750000;;15000|1000000;;20000|1250000;;25000|1500000;;30000"
"NR: 50.0% Co-explotación: -1666.67",               "0.00",          "0.00",       "0.00",       "0.00",     "50.00",   "-1666.67",      "0.00",  "0.00","350000;;7000|500000;;10000|750000;;15000|1000000;;20000|1250000;;25000|1500000;;30000"
"NR: 50.0% Co-explotación: -1666.67 SAT: 30",       "0.00",          "0.00",       "0.00",       "0.00",     "50.00",   "-1666.67",      "0.00", "30.00","350000;;7000|500000;;10000|750000;;15000|1000000;;20000|1250000;;25000|1500000;;30000"
"NR: 70.0% Co-explotación: -1050.00 +250 mes",      "0.00",          "0.00",       "0.00",       "0.00",     "70.00",   "-1050.00",    "250.00",  "0.00","350000;;7000|500000;;10000|750000;;15000|1000000;;20000|1250000;;25000|1500000;;30000"
"NR: 70.0% Co-explotación: -1666.67 +250 mes",      "0.00",          "0.00",       "0.00",       "0.00",     "70.00",   "-1666.67",    "250.00",  "0.00","350000;;7000|500000;;10000|750000;;15000|1000000;;20000|1250000;;25000|1500000;;30000"


